-----------------------------------------------------------
Family information: Input_filtrado.txt
Log: reports/log_2w.txt
The number of families is 763
Root Family size : 1 ~ 30
Family size : 0 ~ 61
P-value: 0.01
Num of Threads: 10
Num of Random: 1000
Lambda Tree: (((((1,1)1,1)1,((1,1)1,1)1)1,1)1,((((1,1)1,((1,1)1,(1,1)1)1)1,1)1,((((((2,2)2,2)2,(2,(((2,2)2,2)2,2)2)2)2,((((((2,2)2,2)2,2)2,((((2,2)2,2)2,(2,(2,2)2)2)2,(((2,2)2,(2,2)2)2,(2,2)2)2)2)2,(2,2)2)2,(((2,(2,(2,2)2)2)2,2)2,(((2,2)2,((2,((2,2)2,2)2)2,((2,(2,2)2)2,(((2,2)2,2)2,((2,(2,2)2)2,2)2)2)2)2)2,((2,2)2,2)2)2)2)2)2,1)1,1)1)1)
Empirical Prior Estimation Result: (33 iterations)
Poisson lambda: 0.050571 & Score: 4075.133382
Lambda : 0.00115177786337,0.00200949649450 & Score: -19284.857236
.Lambda : 0.00098402569526,0.00067433239527 & Score: -17455.903830
.Lambda : 0.00099745674747,0.00067891030401 & Score: -17455.937581
.Lambda : 0.00099409898442,0.00067776582682 & Score: -17455.886523
.Lambda : 0.00098742102431,0.00068222108562 & Score: -17455.958470
.Lambda : 0.00098908581859,0.00068026424428 & Score: -17455.904458
.Lambda : 0.00099075061286,0.00067830740293 & Score: -17455.874611
.Lambda : 0.00099074122136,0.00067662134964 & Score: -17455.863747
.Lambda : 0.00099408959292,0.00067607977353 & Score: -17455.880147
.Lambda : 0.00098740224131,0.00067884897904 & Score: -17455.886163
.Lambda : 0.00098907407921,0.00067815667766 & Score: -17455.872860
.Lambda : 0.00098906468771,0.00067647062437 & Score: -17455.863244
.Lambda : 0.00098822172514,0.00067555223509 & Score: -17455.865859
.Lambda : 0.00099073182986,0.00067493529635 & Score: -17455.866879
.Lambda : 0.00098907407921,0.00067815667766 & Score: -17455.872860
.Lambda : 0.00098948851687,0.00067735133233 & Score: -17455.866060
.Lambda : 0.00099031739220,0.00067574064168 & Score: -17455.863062
.Lambda : 0.00099073182986,0.00067493529635 & Score: -17455.866879
.Lambda : 0.00098864085855,0.00067558991641 & Score: -17455.864595
.Lambda : 0.00098916594925,0.00067584777472 & Score: -17455.863082
.Lambda : 0.00099041865374,0.00067511779202 & Score: -17455.865403
.Lambda : 0.00099008016223,0.00067545600011 & Score: -17455.863674
.Lambda : 0.00098974167073,0.00067579420820 & Score: -17455.862739
.Lambda : 0.00098969103996,0.00067610563302 & Score: -17455.862437
.Lambda : 0.00098911531848,0.00067615919954 & Score: -17455.862921
.Lambda : 0.00099031739220,0.00067574064168 & Score: -17455.863062
.Lambda : 0.00099001687377,0.00067584528114 & Score: -17455.862679
.Lambda : 0.00098996624300,0.00067615670597 & Score: -17455.862427
.Lambda : 0.00099007852914,0.00067633795486 & Score: -17455.862550
.Lambda : 0.00098964040919,0.00067641705785 & Score: -17455.862618
.Lambda : 0.00099001687377,0.00067584528114 & Score: -17455.862679
.Lambda : 0.00098992275763,0.00067598822532 & Score: -17455.862486
.Lambda : 0.00098973452533,0.00067627411367 & Score: -17455.862456
.Lambda : 0.00098992275763,0.00067598822532 & Score: -17455.862486
.Lambda : 0.00098987569955,0.00067605969741 & Score: -17455.862434
.Lambda : 0.00099015090260,0.00067611077036 & Score: -17455.862512
.Lambda : 0.00099003593694,0.00067610948602 & Score: -17455.862454
.Lambda : 0.00098992097128,0.00067610820169 & Score: -17455.862422
.Lambda : 0.00098982864148,0.00067613116950 & Score: -17455.862411
.Lambda : 0.00098978336975,0.00067608266522 & Score: -17455.862425
.Lambda : 0.00098996624300,0.00067615670597 & Score: -17455.862427
.Lambda : 0.00098992052469,0.00067613819578 & Score: -17455.862418
.Lambda : 0.00098982819489,0.00067616116359 & Score: -17455.862410
.Lambda : 0.00098978180670,0.00067618764454 & Score: -17455.862416
.Lambda : 0.00098973631168,0.00067615413731 & Score: -17455.862420
.Lambda : 0.00098978236493,0.00067615015192 & Score: -17455.862413
.Lambda : 0.00098987447144,0.00067614218116 & Score: -17455.862412
.Lambda : 0.00098978236493,0.00067615015192 & Score: -17455.862413
.Lambda : 0.00098980539156,0.00067614815923 & Score: -17455.862411
.Lambda : 0.00098980494497,0.00067617815333 & Score: -17455.862412
.Lambda : 0.00098981086910,0.00067616640737 & Score: -17455.862411
.
Lambda Search Result: 62
Lambda : 0.00098982819489,0.00067616116359 & Score: 17455.862410
DONE: Lambda Search or setting, for command:
lambda -s -t (((((1,1)1,1)1,((1,1)1,1)1)1,1)1,((((1,1)1,((1,1)1,(1,1)1)1)1,1)1,((((((2,2)2,2)2,(2,(((2,2)2,2)2,2)2)2)2,((((((2,2)2,2)2,2)2,((((2,2)2,2)2,(2,(2,2)2)2)2,(((2,2)2,(2,2)2)2,(2,2)2)2)2)2,(2,2)2)2,(((2,(2,(2,2)2)2)2,2)2,(((2,2)2,((2,((2,2)2,2)2)2,((2,(2,2)2)2,(((2,2)2,2)2,((2,(2,2)2)2,2)2)2)2)2)2,((2,2)2,2)2)2)2)2)2,1)1,1)1)1); 
Running Viterbi algorithm....
Report Done
